game_id,period,gc_seconds,defender_id,defender_name,shooter_id,shooter_name,n_intrusion_episodes,max_episode_score,total_contact_frames,max_intrusion_depth,primary_joint,cvi_landing_space_flag,violation_type
22500676,1,28.0,1641765,Olivier-Maxence Prosper,1629012,Collin Sexton,1,0.0,4,0.0095,j_rWrist,False,Clean
22500676,2,592.0,1629012,Collin Sexton,1631246,Vince Williams Jr.,3,0.0,9,0.0132,j_lWrist,False,Clean
22500676,2,19.2,1629111,Jock Landale,1642883,Sion James,1,0.0,7,0.0592,j_rWrist,False,Clean
22500676,3,709.0,1630163,LaMelo Ball,1642377,Jaylen Wells,6,0.0,44,0.0941,j_lElbow,False,Clean
22500676,3,691.0,1629111,Jock Landale,1642851,Kon Knueppel,1,0.0002,1,0.0055,j_lWrist,True,Crowding
22500676,3,477.0,1642907,Cedric Coward,1642851,Kon Knueppel,2,0.0,9,0.0785,j_lElbow,False,Clean
22500676,3,417.0,1642851,Kon Knueppel,1642285,Cam Spencer,4,0.0008,12,0.0192,j_lElbow,True,Crowding
22500676,4,687.0,1641713,GG Jackson,1628970,Miles Bridges,5,0.0001,45,0.1497,j_lWrist,True,Crowding
22500676,4,650.0,1631246,Vince Williams Jr.,1630163,LaMelo Ball,1,0.0,2,0.0064,j_lWrist,False,Clean
22500676,4,620.0,1641713,GG Jackson,1631217,Moussa Diabaté,11,0.0032,35,0.0812,j_rElbow,True,Crowding
22500676,4,492.0,1628970,Miles Bridges,1628991,Jaren Jackson Jr.,0,0.0,0,0.0,none,False,Clean
22500676,4,404.0,1631217,Moussa Diabaté,1629111,Jock Landale,29,0.0003,172,0.177,j_lElbow,True,Crowding
22500676,4,366.0,1631217,Moussa Diabaté,1642377,Jaylen Wells,5,0.0,25,0.1818,j_lElbow,False,Clean
22500676,4,291.0,1642285,Cam Spencer,1629012,Collin Sexton,1,0.0,7,0.0513,j_lElbow,False,Clean
22500676,4,22.6,1629684,Grant Williams,1642377,Jaylen Wells,5,0.0001,19,0.0825,j_lWrist,True,Crowding
22500785,1,450.0,1631114,Jalen Williams,1630692,Jordan Goodwin,7,0.0,27,0.0686,j_lElbow,False,Clean
22500785,1,289.0,1626220,Royce O'Neale,1631114,Jalen Williams,1,0.0,8,0.0569,j_rWrist,False,Clean
